time_s,q_deg_A1,q_deg_A2,q_deg_A3,q_deg_A4,q_deg_A5,q_deg_A6,qd_deg_s_A1,qd_deg_s_A2,qd_deg_s_A3,qd_deg_s_A4,qd_deg_s_A5,qd_deg_s_A6,qdd_deg_s2_A1,qdd_deg_s2_A2,qdd_deg_s2_A3,qdd_deg_s2_A4,qdd_deg_s2_A5,qdd_deg_s2_A6,flange_x_m,flange_y_m,flange_z_m
2.28,54.404929536,33.472417792,-61.607394304,90.67488256,43.601232384,163.214788608,19.9618560000001,23.2888320000001,-29.9427840000001,33.2697600000001,4.99046400000002,59.8855680000002,-37.9392,-44.2624000000001,56.9088000000001,-63.2320000000001,-9.48480000000001,-113.8176,0.348094095970479,0.58345057475187,1.05109471502524
2.285,54.5042643173935,33.5883083702924,-61.7563964760903,90.8404405289892,43.6260660793484,163.512792952181,19.7720055601852,23.0673398202161,-29.6580083402778,32.9533426003087,4.9430013900463,59.3160166805556,-38.0003962962963,-44.3337956790123,57.0005944444444,-63.3339938271605,-9.50009907407407,-114.001188888889,0.34735058043526,0.584470333059075,1.05097539800794
2.29,54.6026490961481,33.7030906121728,-61.9039736442222,91.0044151602469,43.650662274037,163.807947288444,19.5818578518518,22.8455008271604,-29.3727867777777,32.6364297530863,4.89546446296295,58.7455735555554,-38.0581037037037,-44.4011209876543,57.0871555555555,-63.4301728395061,-9.51452592592592,-114.174311111111,0.346611318249886,0.58547813295942,1.05085563044833
2.295,54.700082429625,33.8167628345625,-62.0501236444375,91.166804049375,43.6750206074062,164.100247288875,19.391430375,22.6233354375,-29.0871455625,32.319050625,4.84785759375001,58.1742911250001,-38.1123,-44.46435,57.1684500000001,-63.5205000000001,-9.52807500000001,-114.3369,0.345876409466695,0.586474013696388,1.050735460419
2.3,54.796562962963,33.9293234567901,-62.1948444444445,91.3276049382716,43.6991407407407,164.389688888889,19.2007407407408,22.4008641975309,-28.8011111111111,32.0012345679013,4.80018518518519,57.6022222222223,-38.162962962963,-44.5234567901235,57.2444444444445,-63.604938271605,-9.54074074074075,-114.488888888889,0.345145952480518,0.587458015504786,1.05061493551234
2.305,54.8920894296343,34.04077100124,-62.3381341444514,91.4868157160571,43.7230223574086,164.676268288903,19.0098066712963,22.178107783179,-28.5147100069445,31.6830111188272,4.75245166782408,57.0294200138889,-38.2100703703704,-44.5784154320988,57.3151055555557,-63.6834506172841,-9.55251759259261,-114.630211111111,0.344420044013399,0.588430179588999,1.05049410283066
2.31,54.986660652,34.151104094,-62.479990978,91.64443442,43.746665163,164.959981956,18.818646,21.955087,-28.227969,31.36441,4.7046615,56.455938,-38.2535999999999,-44.6291999999999,57.3803999999999,-63.7559999999999,-9.56339999999999,-114.7608,0.343698779099788,0.589390548101472,1.05037300897666
2.315,55.0802755418657,34.26032146551,-62.6204133127986,91.8004592364429,43.7700688854664,165.240826625597,18.6272766712963,21.7318227831791,-27.9409150069445,31.0454611188272,4.65681916782408,55.881830013889,-38.2935296296296,-44.6757845679012,57.4402944444444,-63.822549382716,-9.5733824074074,-114.880588888889,0.342982251072192,0.590339164121433,1.05025170004392
2.32,55.1729331010371,34.36842195121,-62.7593996515557,91.9548885017285,43.7932332752593,165.518799303111,18.4357167407407,21.5083361975308,-27.6535751111111,30.7261945679012,4.60892918518518,55.3071502222221,-38.3298370370369,-44.7181432098764,57.4947555555554,-63.8830617283949,-9.58245925925924,-114.989511111111,0.342270551547305,0.591276071633873,1.05013022160764
2.325,55.264632421875,34.4754044921875,-62.8969486328125,92.107720703125,43.8161581054688,165.793897265625,18.2439843749999,21.2846484374999,-27.3659765624999,30.4066406249999,4.56099609374998,54.7319531249998,-38.3625,-44.75625,57.54375,-63.9375,-9.590625,-115.0875,0.341563770412576,0.59220131550878,1.0500086187156
